A;B;
MT_F_0_30;0.0287055232728768;
MT_F_0_30;0.0575366606562446;
MT_F_0_30;0.0492744388848285;
MT_F_100_30;0.036548476285966;
MT_F_100_30;0.0537740260334455;
MT_F_100_30;0.0701973603534477;
MT_F_0_1h;0.0361651443091596;
MT_F_0_1h;0.0407195102444415;
MT_F_0_1h;0.0425213351257198;
MT_F_100_1h;0.0579032365699033;
MT_F_100_1h;0.0553347445011361;
MT_F_100_1h;0.0649478158310524;
MT_F_0_2h;0.129595102871392;
MT_F_0_2h;0.096602093075039;
MT_F_0_2h;0.0788731184527524;
MT_F_100_2h;0.0246343629532035;
MT_F_100_2h;0.0883714410282732;
MT_F_100_2h;0.0;
MT_F_0_3h;0.115906602254428;
MT_F_0_3h;0.305534175127756;
MT_F_0_3h;0.146508387475682;
MT_F_100_3h;0.358395035343101;
MT_F_100_3h;0.0710182767624021;
MT_F_100_3h;0.0886884542005853;
yg2_F_0_30;1.366;
yg2_F_0_30;2.054;
yg2_F_0_30;1.658;
yg2_F_100_30;1.963;
yg2_F_100_30;1.16;
yg2_F_100_30;1.359;
yg2_F_0_1h;1.653;
yg2_F_0_1h;0.817;
yg2_F_0_1h;1.773;
yg2_F_100_1h;1.408;
yg2_F_100_1h;1.999;
yg2_F_100_1h;2.627;
yg2_F_0_2h;1.563;
yg2_F_0_2h;3.831;
yg2_F_0_2h;5.027;
yg2_F_100_2h;3.364;
yg2_F_100_2h;4.994;
yg2_F_100_2h;3.177;
yg2_F_0_3h;1.065;
yg2_F_0_3h;3.702;
yg2_F_0_3h;3.273;
yg2_F_100_3h;3.392;
yg2_F_100_3h;1.902;
yg2_F_100_3h;1.251;
