A;B
MT_R_0_30;0.0
MT_R_0_30;0.0
MT_R_0_30;0.0223566924112527
MT_R_100_30;0.13275694483841
MT_R_100_30;0.0
MT_R_100_30;0.0385462097611631
MT_R_0_1h;0.0240935886862762
MT_R_0_1h;0.0629145939592388
MT_R_0_1h;0.0
MT_R_100_1h;0.0
MT_R_100_1h;0.215916691460875
MT_R_100_1h;0.0426424478321981
MT_R_0_2h;0.105934492277848
MT_R_0_2h;0.0104029014177378
MT_R_0_2h;0.09808254246896
MT_R_100_2h;0.00184709050462455
MT_R_100_2h;0.228536059393879
MT_R_100_2h;0.0726079898244381
MT_R_0_3h;0.100173375296781
MT_R_0_3h;0.0905407757104508
MT_R_0_3h;0.0447077801757026
MT_R_100_3h;0.0261381381381383
MT_R_100_3h;0.208234380661525
MT_R_100_3h;0.109452401010952
yg2_R_0_30;0.0
yg2_R_0_30;0.270580164056674
yg2_R_0_30;0.0
yg2_R_100_30;0.167544604927783
yg2_R_100_30;0.0567230888372604
yg2_R_100_30;0.0
yg2_R_0_1h;0.374456140350877
yg2_R_0_1h;0.154753363228699
yg2_R_0_1h;0.696317294541838
yg2_R_100_1h;0.0
yg2_R_100_1h;0.805225313160892
yg2_R_100_1h;0.731281283778166
yg2_R_0_2h;0.318221236757823
yg2_R_0_2h;0.395558707324486
yg2_R_0_2h;0.488779149519891
yg2_R_100_2h;0.309620906931102
yg2_R_100_2h;0.450816459830177
yg2_R_100_2h;0.00577621558289453
yg2_R_0_3h;0.085473684210527
yg2_R_0_3h;0.357406576980569
yg2_R_0_3h;0.372676861867463
yg2_R_100_3h;0.254224264471249
yg2_R_100_3h;0.192484138604198
yg2_R_100_3h;0.131171530722541
MT_F_0_30;0.0287055232728768
MT_F_0_30;0.0575366606562446
MT_F_0_30;0.0492744388848285
MT_F_100_30;0.036548476285966
MT_F_100_30;0.0537740260334455
MT_F_100_30;0.0701973603534477
MT_F_0_1h;0.0361651443091596
MT_F_0_1h;0.0407195102444415
MT_F_0_1h;0.0425213351257198
MT_F_100_1h;0.0579032365699033
MT_F_100_1h;0.0553347445011361
MT_F_100_1h;0.0649478158310524
MT_F_0_2h;0.129595102871392
MT_F_0_2h;0.096602093075039
MT_F_0_2h;0.0788731184527524
MT_F_100_2h;0.0246343629532035
MT_F_100_2h;0.0883714410282732
MT_F_100_2h;0.0
MT_F_0_3h;0.115906602254428
MT_F_0_3h;0.305534175127756
MT_F_0_3h;0.146508387475682
MT_F_100_3h;0.358395035343101
MT_F_100_3h;0.0710182767624021
MT_F_100_3h;0.0886884542005853
yg2_F_0_30;1.366
yg2_F_0_30;2.054
yg2_F_0_30;1.658
yg2_F_100_30;1.963
yg2_F_100_30;1.16
yg2_F_100_30;1.359
yg2_F_0_1h;1.653
yg2_F_0_1h;0.817
yg2_F_0_1h;1.773
yg2_F_100_1h;1.408
yg2_F_100_1h;1.999
yg2_F_100_1h;2.627
yg2_F_0_2h;1.563
yg2_F_0_2h;3.831
yg2_F_0_2h;5.027
yg2_F_100_2h;3.364
yg2_F_100_2h;4.994
yg2_F_100_2h;3.177
yg2_F_0_3h;1.065
yg2_F_0_3h;3.702
yg2_F_0_3h;3.273
yg2_F_100_3h;3.392
yg2_F_100_3h;1.902
yg2_F_100_3h;1.251
