Amostra;nmols/min/mg prot
MT_ F_0_30;250,3518467
MT_ F_0_30;267,710944
MT_ F_0_30;281,5160087
MT_ F_100_30;216,9351626
MT_ F_100_30;189,1399832
MT_ F_100_30;234,1315506
MT_ F_0_1h;1500,533672
MT_ F_0_1h;379,8040584
MT_ F_0_1h;438,793491
MT_ F_100_1h;310,5049306
MT_ F_100_1h;262,8925129
MT_ F_100_1h;354,4908918
MT_ F_0_2h;538,8138016
MT_ F_0_2h;786,3648436
MT_ F_0_2h;737,790063
MT_ F_100_2h;292,5431253
MT_ F_100_2h;176,583837
MT_ F_100_2h;496,3530902
MT_ F_0_3h;463,3753475
MT_ F_0_3h;360,2860366
MT_ F_0_3h;423,2660763
MT_ F_100_3h;206,4884111
MT_ F_100_3h;176,8660891
MT_ F_100_3h;241,6822039
yg2_ F_0_30;56,65343997
yg2_ F_0_30;137,624959
yg2_ F_0_30;154,2376963
yg2_ F_100_30;97,75803294
yg2_ F_100_30;156,1889123
yg2_ F_100_30;155,6080346
yg2_ F_0_1h;236,6416112
yg2_ F_0_1h;580,4120173
yg2_ F_0_1h;103,12024
yg2_ F_100_1h;186,8407201
yg2_ F_100_1h;156,3778925
yg2_ F_100_1h;153,7897914
yg2_ F_0_2h;191,4289404
yg2_ F_0_2h;253,2695225
yg2_ F_0_2h;281,6082685
yg2_ F_100_2h;163,5971462
yg2_ F_100_2h;228,6918394
yg2_ F_100_2h;148,1489625
yg2_ F_0_3h;286,4511312
yg2_ F_0_3h;349,0651302
yg2_ F_0_3h;180,7709508
yg2_ F_100_3h;133,6756569
yg2_ F_100_3h;249,9894797
yg2_ F_100_3h;179,8159747
