Amostra;nmols/min/mg prot
MT_ R_0_30;2924,827618
MT_ R_0_30;1268,983269
MT_ R_0_30;4551,506317
MT_ R_100_30;941,1668026
MT_ R_100_30;4998,726877
MT_ R_100_30;4142,60077
MT_ R_0_1h;3514,169116
MT_ R_0_1h;2462,77666
MT_ R_0_1h;878,7025985
MT_ R_100_1h;2723,7811
MT_ R_100_1h;1231,25898
MT_ R_100_1h;1366,495174
MT_ R_0_2h;8004,026227
MT_ R_0_2h;2629,333333
MT_ R_0_2h;1537,091214
MT_ R_100_2h;1621,547368
MT_ R_100_2h;1150,529283
MT_ R_100_2h;3685,811673
MT_ R_0_3h;2375,363291
MT_ R_0_3h;2733,780928
MT_ R_0_3h;2315,363036
MT_ R_100_3h;1357,57352
MT_ R_100_3h;1070,328142
MT_ R_100_3h;1858,771691
yg2_ R_0_30;599,914966
yg2_ R_0_30;441,5504406
yg2_ R_0_30;1640,498244
yg2_ R_100_30;1245,04752
yg2_ R_100_30;508,9949254
yg2_ R_100_30;650,6473707
yg2_ R_0_1h;530,2588414
yg2_ R_0_1h;1246,062797
yg2_ R_0_1h;672,9357723
yg2_ R_100_1h;832,7186233
yg2_ R_100_1h;878,8238221
yg2_ R_100_1h;681,1462046
yg2_ R_0_2h;1004,738111
yg2_ R_0_2h;835,3503134
yg2_ R_0_2h;458,3231453
yg2_ R_100_2h;614,1881185
yg2_ R_100_2h;245,1011395
yg2_ R_100_2h;385,2412567
yg2_ R_0_3h;482,0023139
yg2_ R_0_3h;667,5326107
yg2_ R_0_3h;384,9866759
yg2_ R_100_3h;418,2790357
yg2_ R_100_3h;560,2690215
yg2_ R_100_3h;897,3324194
